version,trades,start_capital,final_equity,total_profit,total_return,current_position,last_price
stable,267,7000.0,24683.697900999952,17683.697900999952,2.5262425572857077,-0.3,59832.0
aggressive,45,7000.0,11000.460009999995,4000.4600099999957,0.5714942871428565,-0.3,59832.0
